model,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic Regression,0.21801857068943803,0.8233112595765142,0.7491926803013994,0.1444866920152091,0.8260869565217391,0.2459546925566343,0.866167708897533
Decision Tree,0.1629703390194246,0.556689073085978,0.9214208826695371,0.15384615384615385,0.13043478260869565,0.1411764705882353,0.546531094588606
Naive Bayes,0.12222035297931386,0.7821202901285635,0.2960172228202368,0.06571428571428571,1.0,0.12332439678284182,0.812275345905756
Random Forest,0.1297675686391119,0.7949554256552342,0.930032292787944,0.12,0.06521739130434782,0.08450704225352113,0.8033753508296815
KNN,0.00909090909090909,0.6229239632712029,0.9494079655543596,0.3333333333333333,0.021739130434782608,0.04081632653061224,0.607033827367177
SVM,0.0,0.7769808615324096,0.9504843918191603,0.0,0.0,0.0,0.7933920921758827
