source_index,feature,original_value,counterfactual_value,original_probability,counterfactual_probability,normalized_change
187,age,82.0,42.5,0.9583860055256658,0.49863102851954094,1.7509657041399147
187,age,82.0,34.625,0.9583860055256658,0.34706962089748394,2.100050638826037
187,age,82.0,26.75,0.9583860055256658,0.22124697883942462,2.449135573512159
187,age,82.0,18.875,0.9583860055256658,0.13182894738849,2.7982205081982814
187,age,82.0,11.0,0.9583860055256658,0.0750661329698497,3.1473054428844036
