,accuracy,roc_auc,log_loss,precision,recall,f1
AdaBoost baseline,0.9504843918191603,0.8674848589295386,0.2691694548475097,0.0,0.0,0.0
AdaBoost adjusted,0.9504843918191603,0.8672386626618741,0.2701924466587275,0.0,0.0,0.0
XGBoost baseline,0.9483315392895587,0.8212122704219803,0.16986875236034393,0.0,0.0,0.0
XGBoost adjusted,0.9504843918191603,0.8382490521443696,0.16021819412708282,0.0,0.0,0.0
